2026-07-01 13:03:14.449 | INFO     | monitoring.logger:info:70 - PREDICT | XAUUSD | EA:BUY | Buy:23% Sell:77% | Risk:27% | → BLOCK | 602ms
2026-07-01 13:03:14.450 | INFO     | monitoring.logger:info:70 - PREDICT | XAUUSD | EA:BUY | Buy:23% Sell:77% | Risk:27% | → BLOCK | 602ms
2026-07-01 13:03:18.846 | DEBUG    | monitoring.logger:debug:65 - Features computed | {} features for {symbol} {'symbol': 'XAUUSD'}
2026-07-01 13:03:19.184 | DEBUG    | monitoring.logger:debug:65 - REGIME | XAUUSD → strong_bull_trend (24%)
2026-07-01 13:03:19.489 | INFO     | monitoring.logger:info:70 - TraderAI | BUY=23% SELL=77% → SELL (conf=27%)
2026-07-01 13:03:19.988 | WARNING  | monitoring.logger:warning:75 - BLOCKED | XAUUSD | ['low_quality_score:0.27']
2026-07-01 13:03:20.058 | INFO     | monitoring.logger:info:70 - [MSV_BREACH_LL] BUY=50%(7.5/15.0) SELL=50%(7.5/15.0) | signal=BUY | regime=strong_bull_trend[BUY:MED/SELL:MED], session=london[BUY:MED/SELL:MED], volatility=LOW[BUY:MED/SELL:MED], momentum=NEUTRAL[BUY:MED/SELL:MED], level_prox=AT[BUY:MED/SELL:MED]
2026-07-01 13:03:20.061 | INFO     | monitoring.logger:info:70 - PREDICT | XAUUSD | EA:BUY | Buy:23% Sell:77% | Risk:27% | → BLOCK | 876ms
2026-07-01 13:03:20.062 | INFO     | monitoring.logger:info:70 - PREDICT | XAUUSD | EA:BUY | Buy:23% Sell:77% | Risk:27% | → BLOCK | 876ms
2026-07-01 13:03:21.490 | DEBUG    | monitoring.logger:debug:65 - Features computed | {} features for {symbol} {'symbol': 'XAUUSD'}
2026-07-01 13:03:21.819 | DEBUG    | monitoring.logger:debug:65 - REGIME | XAUUSD → strong_bull_trend (24%)
2026-07-01 13:03:22.119 | INFO     | monitoring.logger:info:70 - TraderAI | BUY=23% SELL=77% → SELL (conf=27%)
2026-07-01 13:03:22.575 | WARNING  | monitoring.logger:warning:75 - BLOCKED | XAUUSD | ['low_quality_score:0.27']
2026-07-01 13:03:22.577 | INFO     | monitoring.logger:info:70 - [MSV_BREACH_HL] BUY=50%(7.5/15.0) SELL=50%(7.5/15.0) | signal=BUY | regime=strong_bull_trend[BUY:MED/SELL:MED], session=london[BUY:MED/SELL:MED], volatility=LOW[BUY:MED/SELL:MED], momentum=NEUTRAL[BUY:MED/SELL:MED], level_prox=AT[BUY:MED/SELL:MED]
2026-07-01 13:03:22.578 | INFO     | monitoring.logger:info:70 - PREDICT | XAUUSD | EA:BUY | Buy:23% Sell:77% | Risk:27% | → BLOCK | 759ms
2026-07-01 13:03:22.686 | INFO     | monitoring.logger:info:70 - PREDICT | XAUUSD | EA:BUY | Buy:23% Sell:77% | Risk:27% | → BLOCK | 759ms
2026-07-01 13:03:27.932 | DEBUG    | monitoring.logger:debug:65 - Features computed | {} features for {symbol} {'symbol': 'XAUUSD'}
2026-07-01 13:03:28.262 | DEBUG    | monitoring.logger:debug:65 - REGIME | XAUUSD → strong_bull_trend (24%)
2026-07-01 13:03:28.552 | INFO     | monitoring.logger:info:70 - TraderAI | BUY=23% SELL=77% → SELL (conf=27%)
2026-07-01 13:03:29.021 | WARNING  | monitoring.logger:warning:75 - BLOCKED | XAUUSD | ['low_quality_score:0.27']
2026-07-01 13:03:29.113 | INFO     | monitoring.logger:info:70 - [MSV_BREACH_LH] BUY=50%(7.5/15.0) SELL=50%(7.5/15.0) | signal=SELL | regime=strong_bull_trend[BUY:MED/SELL:MED], session=london[BUY:MED/SELL:MED], volatility=LOW[BUY:MED/SELL:MED], momentum=NEUTRAL[BUY:MED/SELL:MED], level_prox=AT[BUY:MED/SELL:MED]
2026-07-01 13:03:29.152 | INFO     | monitoring.logger:info:70 - PREDICT | XAUUSD | EA:SELL | Buy:23% Sell:77% | Risk:27% | → BLOCK | 890ms
2026-07-01 13:03:29.248 | INFO     | monitoring.logger:info:70 - PREDICT | XAUUSD | EA:SELL | Buy:23% Sell:77% | Risk:27% | → BLOCK | 890ms
2026-07-01 13:03:33.892 | DEBUG    | monitoring.logger:debug:65 - Features computed | {} features for {symbol} {'symbol': 'XAUUSD'}
2026-07-01 13:03:34.225 | DEBUG    | monitoring.logger:debug:65 - REGIME | XAUUSD → strong_bull_trend (24%)
2026-07-01 13:03:34.373 | INFO     | monitoring.logger:info:70 - TraderAI | BUY=23% SELL=77% → SELL (conf=27%)
2026-07-01 13:03:34.715 | WARNING  | monitoring.logger:warning:75 - BLOCKED | XAUUSD | ['low_quality_score:0.27']
2026-07-01 13:03:34.728 | INFO     | monitoring.logger:info:70 - [MSV_BREACH_HH] BUY=50%(7.5/15.0) SELL=50%(7.5/15.0) | signal=SELL | regime=strong_bull_trend[BUY:MED/SELL:MED], session=london[BUY:MED/SELL:MED], volatility=LOW[BUY:MED/SELL:MED], momentum=NEUTRAL[BUY:MED/SELL:MED], level_prox=AT[BUY:MED/SELL:MED]
2026-07-01 13:03:34.793 | INFO     | monitoring.logger:info:70 - PREDICT | XAUUSD | EA:SELL | Buy:23% Sell:77% | Risk:27% | → BLOCK | 568ms
