iter	Logloss
0	0.6632454329
1	0.6385211298
2	0.6104077541
3	0.5775971591
4	0.5556232989
5	0.5326260277
6	0.5164135312
7	0.510181363
8	0.4953287864
9	0.4810627815
10	0.4754312202
11	0.4565493999
12	0.4419991803
13	0.4286240924
14	0.4205527012
15	0.4141381875
16	0.4103622284
17	0.4038862639
18	0.3949557602
19	0.3817298813
20	0.3718351477
21	0.3675442963
22	0.36042693
23	0.3535077664
24	0.3454184131
25	0.3355899108
26	0.3298890579
27	0.3243691883
28	0.3163014972
29	0.3102045093
30	0.3047076734
31	0.2981027892
32	0.2943835494
33	0.2855178309
34	0.27535193
35	0.2699752128
36	0.2627954201
37	0.2597022476
38	0.2504839096
39	0.2448003764
40	0.2355739173
41	0.2317631524
42	0.2258586349
43	0.2226694706
44	0.2188161229
45	0.215000391
46	0.2094764461
47	0.2064321578
48	0.2048169257
49	0.2033983129
50	0.1980363154
51	0.1934782934
52	0.1887907583
53	0.1841024672
54	0.1813625871
55	0.1753643476
56	0.1725063819
57	0.1690322518
58	0.1686544386
59	0.1658370852
60	0.1627482416
61	0.1576582496
62	0.1559273501
63	0.1532535602
64	0.1513592192
65	0.1480388043
66	0.1456691135
67	0.1436506417
68	0.1408351943
69	0.1382464661
70	0.1377267861
71	0.1343486607
72	0.1311819226
73	0.1291831017
74	0.1266674965
75	0.1253763595
76	0.1241536094
77	0.122523372
78	0.1205409242
79	0.1174603888
80	0.1155468657
81	0.112989181
82	0.1113323339
83	0.1092241098
84	0.1070495804
85	0.105197848
86	0.1034879334
87	0.1012225551
88	0.1000605184
89	0.09822041713
90	0.09524976482
91	0.09382541894
92	0.09182294632
93	0.09023288578
94	0.08939636913
95	0.08765220565
96	0.08548186303
97	0.08369976492
98	0.08233017932
99	0.08123871499
100	0.08002342501
101	0.07848032298
102	0.0767838986
103	0.0754238254
104	0.07389318125
105	0.07210334839
106	0.07115631636
107	0.0698208069
108	0.06845441229
109	0.06684189149
110	0.06513570899
111	0.06346441699
112	0.06188928611
113	0.06113807642
114	0.05973810174
115	0.05815229667
116	0.05709975294
117	0.056600827
118	0.05534070803
119	0.05445894993
120	0.05359217893
121	0.05267842354
122	0.05201046409
123	0.05126802029
124	0.0503230289
125	0.04951858749
126	0.0485905386
127	0.0476947082
128	0.04677852137
129	0.04570848942
130	0.04445295135
131	0.04367919193
132	0.0427370017
133	0.0420546062
134	0.04123175059
135	0.04046858834
136	0.03966639094
137	0.03880376155
138	0.03828822724
139	0.03778253698
140	0.03713689289
141	0.03650545195
142	0.0360792623
143	0.03529750707
144	0.03477322559
145	0.03440297248
146	0.03385960087
147	0.03331945336
148	0.03285166387
149	0.03240986241
150	0.0318850813
151	0.03157199294
152	0.0311720531
153	0.03057864502
154	0.03000427963
155	0.02974604848
156	0.02945179658
157	0.02909692334
158	0.02875342875
159	0.02820825673
160	0.02778929228
161	0.02746150775
162	0.02715242921
163	0.02680074962
164	0.02643625887
165	0.02622328345
166	0.02596563911
167	0.02563754003
168	0.02544114532
169	0.0249977896
170	0.02476467376
171	0.02450903474
172	0.02408306562
173	0.02378222672
174	0.02340965935
175	0.02312891834
176	0.02296968824
177	0.02270342526
178	0.02232997052
179	0.0220773862
180	0.02173307592
181	0.02159562073
182	0.02125858217
183	0.02094079519
184	0.02067459015
185	0.0204636294
186	0.02033994601
187	0.02009073545
188	0.01981008261
189	0.01969258135
190	0.01946194784
191	0.01935003188
192	0.01924214901
193	0.01902194743
194	0.0189161983
195	0.01870597159
196	0.0185018336
197	0.01840137258
198	0.01820478258
199	0.01810887846
